基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立时间,自定义,手续费
000654,华商新锐产业混合,2021-09-07,2.1220,2.1420,2.31,-2.21,0.57,29.39,35.25,32.96,77.57,124.08,24.97,116.04,2014-07-24,28.9474,1.50%
010612,万家战略发展产业混合C,2021-09-07,1.3139,1.3139,1.22,-1.17,2.78,20.60,35.22,,,,,31.39,2021-01-13,29.34,
008213,华夏新起点混合C,2021-09-07,2.2910,2.2910,0.79,-5.13,-0.22,24.38,35.16,37.19,,,22.64,93.17,2019-11-15,34.7905,
002863,金信深圳成长混合发起式,2021-09-07,2.2210,2.2210,-0.22,-0.80,-6.99,15.14,35.10,20.12,73.38,99.37,24.99,122.10,2016-12-22,17.9557,1.50%
008963,建信科技创新混合C,2021-09-07,1.7540,1.7540,1.26,0.25,5.82,29.79,35.05,70.18,,,33.88,75.40,2020-02-17,66.2850,
007771,同泰开泰混合C,2021-09-07,1.8746,1.8746,3.04,-0.46,4.55,29.41,35.02,52.59,86.10,,41.44,87.46,2019-08-28,47.0818,
519642,银河智造混合,2021-09-07,4.0120,4.0120,1.96,-2.10,-5.95,26.72,34.99,53.31,187.19,266.06,25.81,301.20,2016-03-11,48.0321,1.50%
003984,嘉实新能源新材料股票A,2021-09-07,3.6732,3.6732,3.46,2.79,-0.12,22.27,34.95,81.03,196.63,343.94,30.26,267.32,2017-03-16,70.1331,1.50%
006323,合煦智远嘉选混合A,2021-09-07,2.3188,2.4288,1.68,2.85,9.06,27.98,34.89,66.51,129.36,,30.07,151.65,2018-09-18,62.2189,1.50%
920003,中金新锐股票A,2021-09-07,4.2031,4.6831,2.51,4.44,12.67,22.37,34.87,59.84,,,39.80,101.89,2020-04-07,53.1926,1.50%
001252,中海进取收益混合,2021-09-07,2.4050,2.4050,3.09,1.22,4.25,18.65,34.81,39.02,116.08,152.36,24.87,140.50,2015-05-13,33.6994,0.80%
002281,建信裕利灵活配置混合,2021-09-07,2.4506,2.4506,1,1.36,3.98,29.37,34.80,70.76,124.72,184.62,33.73,145.06,2016-01-04,66.4971,1.50%
006251,银华兴盛股票,2021-09-07,2.4408,2.4408,2.53,-2.24,3.58,23.71,34.79,57.46,143.50,,23.05,144.08,2019-08-01,52.2934,1.50%
006482,广发可转债债券A,2021-09-07,2.0392,2.0392,2.23,3.33,12.37,25.45,34.74,48.18,87.46,,37.43,103.90,2018-11-02,42.9444,1.00%
005569,中融智选红利股票A,2021-09-07,1.9576,1.9576,2.20,-1.10,7.92,23.93,34.71,49.13,84.28,120.48,37.24,95.76,2018-03-30,44.4199,1.50%
001113,南方大数据100A,2021-09-07,1.3182,1.3182,3.32,0.66,8.07,24.91,34.69,36.26,102.68,104.25,31.32,31.82,2015-04-24,30.7629,1.20%
